,generated_text
20,"A few days after the election, a group of people began to look at the results of the U.S. Senate race in the state of California. After a few votes, they cast a vote to remove a seat from the seat of a non-U.S. citizen.
This is a R, Instant magic card with manacost {R}. This is its rules text: Destroy target nonland permanent. You gain 4 life.
This is a R, Instant magic card with"
21,"This is a R, Sorcery magic card with manacost {3}{R}{R}. This is its rules text: Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nDraw a card.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Convoke (Your creatures can help cast this spell"
22,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Return target creature card from your graveyard to your hand. That creature becomes a 2/2 creature for each creature card returned this way.
This is a R, Sorcery magic card with manacost {3}{R}. This is its rules text: Each player sacrifices a creature. If an opponent controls a creature with power 4 or greater, that player discards a card.
"
23,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: You may cast spells from your hand without paying their mana costs.\nChoose one or both —\n• Target player draws two cards.\n• Destroy target artifact or enchantment.
This is a R, Instant magic card with manacost {1}{R}. This is its rules text: [CARDNAME] deals 3 damage divided as you choose among any"
24,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: [CARDNAME] deals 2 damage divided as you choose among one, two, or three target creatures. Each of those creatures gets +1/+0 and gains haste until end of turn.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: [CARDNAME] deals 3 damage to each creature."
25,"Creatures you control get +2/+1 until end of turn.
This is a U, Sorcery magic card with manacost {1}{U}{U}. This is its rules text: Choose a card type. You may choose a name for the card.
This is a U, Instant magic card with manacost {1}{U}{U}. This is its rules text: Create a tapped 2/2 black Zombie creature token.
This is a U, Instant magic"
26,"This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target enchantment.\n• Destroy target enchantment.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all enchantments.\n• Exile target creature.\n• Destroy target enchantment.\"
27,"This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Each player shuffles their hand, then discards all cards in their library.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: Each player discards all cards in their library.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Each player"
28,"This is a G, Sorcery magic card with manacost {G}. This is its rules text: Destroy all creatures.
This is a G, Sorcery magic card with manacost {3}{G}. This is its rules text: Destroy all creatures.
This is a G, Instant magic card with manacost {G}. This is its rules text: Destroy all creatures.
This is a G, Instant magic card with manacost {G}. This is its"
29,"This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures.
This is a R, Sorcery magic card with manacost {2}{R}{R}. This is its rules text: Destroy all creatures.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures.
This is a R, Instant magic card with manac"
30,"This is an R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures.
This is a R, Instant magic card with manacost {1}{R}. This is its rules text: Choose one —\n• Create a 3/3 green Beast creature token.\n• Destroy target creature with flying.\n• Create a 3/3 green Beast creature token.
This is a R, Sorcery magic card"
31,"Tribute {1}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}. This is its rules text: Target creature gets -1/-1 until end of turn.\nRebound (When you cast this spell, copy it for each spell cast before it this turn.)\nReturn target creature card from your graveyard to your hand."
32,"U.S. Army - 5/6/2020 (Artifact, Instant magic card with manacost {3}{U}{U}. This is its rules text: [CARDNAME] deals 2 damage to each creature.
This is a U, Instant magic card with manacost {3}{U}{U}. This is its rules text: [CARDNAME] deals 3 damage to each creature.
This is a U, Instant magic card with manacost {"
33,"This is a R, Sorcery magic card with manacost {2}{R}{R}. This is its rules text: Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target creature.\n• Destroy target enchantment.
This is a R, Instant magic card with manacost {1}{R}. This is its rules text: [CARDNAME] deals 3 damage to each creature.
This is a R, Sor"
34,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Destroy all creatures."
35,"This is a R, Sorcery magic card with manacost {X}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {X}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {X}{R}. This is its rules text: Destroy all creatures."
36,"A new source of information has been revealed for the cast of the upcoming R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R,"
37,"Suspend 3—{1}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U}{U} (You may cast this spell for its suspend cost. If you do, remove the suspend cost.)
This is a U, Instant magic card with manacost {U}{U}. This is its rules text: Exile target creature. It can't be regenerated.\nFlashback {U} (You may cast this card from your"
38,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Destroy all creatures.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures.
This is a R, Sorcery magic card with manacost {R"
39,"You may cast this spell for its mana cost. If you do, you may choose a new target for the spell.\nSplice onto Arcane {1}{U}{U}{U} (You may cast this spell for its mana cost. If you do, choose a new target for the spell.)\nDraw a card.
This is a U, Sorcery magic card with manacost {3}{U}{U}. This is its rules text: Choose one —\n"
40,"This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Each player chooses a card from their hand and sacrifices it. The next player discards that card.
This is a R, Instant magic card with manacost {R}. This is its rules text: Target player exiles a creature.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all"
41,"Creature — Human Soldier
This is its rules text: This spell costs {1} less to cast for each creature you control.\nDraw a card.
This is a B, Sorcery magic card with manacost {3}{B}{B}. This is its rules text: Choose one or both. You and target player each draw cards equal to the number of cards chosen this way. (Each player chooses a different number of cards.)
This is a B, Sorcery"
42,"A man who is also a man, a man who is also a man, a man who is also a man, a man who is also a man, a man who is also a man, a man who is also a man, a man who is also a man, a man who is also a man, a man who is also a man, a man who is also a man, a man who is also a man, a man who is also a man, a man who is"
43,"It's a G, Sorcery magic card with manacost {G}. This is its rules text: Exile target creature. It deals 4 damage to you and 2 damage to another creature.
This is a G, Sorcery magic card with manacost {3}{G}. This is its rules text: Exile target creature. It deals 4 damage to you and 2 damage to another creature.
This is a G, Sorcery magic card with manacost {2}{G}."
44,"This is a B, Sorcery magic card with manacost {1}{B}. This is its rules text: Each player chooses a creature they control and sacrifices it. Then each player who chose a creature this way sacrifices a creature they control and sacrifices a creature they control.
This is a B, Sorcery magic card with manacost {2}{B}. This is its rules text: Choose one —\n• Destroy all creatures.\n• Destroy all creatures with flying."
45,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Destroy all creatures. Each player who controls a creature with a creature type greater than one enters the battlefield with an additional +1/+1 counter on them.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures. Each player who controls a creature with a creature type greater than two enters the battlefield with an"
46,"Giant creature you can't be blocked this turn.
This is a U, Sorcery magic card with manacost {1}{U}. This is its rules text: As an additional cost to cast this spell, reveal a creature card from your hand. Create a tapped, untapped Giant creature token. (It can't be the target of spells or abilities your opponents control.)\nSearch your library for a card, put that card into your hand, then shuffle.
This is"
47,"This is a G, Sorcery magic card with manacost {G}. This is its rules text: Each player discards a card.
This is a G, Sorcery magic card with manacost {1}{G}. This is its rules text: Each player discards a card.
This is a G, Sorcery magic card with manacost {2}{G}. This is its rules text: Each player discards a card.
This is a G, Sor"
48,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target enchantment.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Exile target creature. It can't be regenerated.
This"
49,"This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Exile target creature with flying.\nDraw a card.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: You may cast a spell with mana value 3 or less from your hand without paying its mana cost.\nDraw a card.
This is a R, Sorcery magic card with manac"
50,"Banned from the game: Tap all creatures. If you tap a creature, its controller may return a creature card from their graveyard to their hand.
This is a U, Sorcery magic card with manacost {X}{U}{U}. This is its rules text: [CARDNAME] deals X damage divided evenly, where X is the number of creatures on the battlefield.
This is a U, Sorcery magic card with manacost {U}{U}. This is"
51,"Your opponents can't cast spells this turn.
This is a U, Instant magic card with manacost {2}{U}. This is its rules text: Choose one —\n• Target creature gets -3/-3 until end of turn.\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target enchantment.
This is a U, Instant magic card with manacost {3}{U}. This is its rules text: Choose one —\"
52,"Wizards of the Coast — You may reveal a creature you control from your hand rather than pay this spell's mana cost. If you do, return a creature card from your graveyard to your hand.
This is a U, Instant magic card with manacost {U}. This is its rules text: Destroy all creatures.
This is a U, Instant magic card with manacost {U}. This is its rules text: Return target creature card from your graveyard to your hand.\"
53,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Choose one —\n• Destroy target artifact or enchantment.\n• Destroy target creature.\n• Create two 1/1 white Soldier creature tokens.\n• [CARDNAME] deals 4 damage to target creature.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: [CARDNAME] deals"
54,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Destroy all creatures.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: Search your library for a creature card with different names and reveal it. Then shuffle.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: Choose one —\n• Destroy all creatures.\"
55,"A few days later, the man who had been the main villain in the first two main-game X-Men games was revealed to be the villainous villain in X-Men Origins: Wolverine.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: You may reveal a card from your hand rather than pay this spell's mana cost. If you do, return a creature card from your hand to the battlefield under its owner's"
56,"Suspended Player — This is a U, Sorcery magic card with manacost {1}{U}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a U, Instant magic card with manacost {U}. This is its rules text: Destroy target creature. Its controller gains life equal to its power.
This is a U, Sorcery magic card with manacost {1}{U}. This is its rules text:"
57,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: [CARDNAME] deals 3 damage to target creature.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: [CARDNAME] deals 3 damage to target creature.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: [CARDNAME] deals 3 damage"
58,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: [CARDNAME] deals 3 damage to target creature. If this spell was kicked, instead it deals 3 damage to that creature.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: [CARDNAME] deals 3 damage to target creature. If this spell was kicked, instead it deals 3 damage to that creature.
"
59,"This is a R, Sorcery magic card with manacost {R}{R}. This is its rules text: Each player sacrifices a creature.\nDestroy all creatures.
This is a R, Sorcery magic card with manacost {3}{R}{R}. This is its rules text: Return all creatures to their owners' hands.
This is a R, Sorcery magic card with manacost {3}{R}{R}. This is its rules text: Target"
60,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: [CARDNAME] deals 3 damage to target creature. If this spell was kicked, instead it deals 3 damage to that creature's controller.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: [CARDNAME] deals 2 damage to target creature. If this spell was kicked, instead it deals 2"
61,"Suspend 5 —{X}{R} (Rather than cast this card from your hand, pay {X}{R} and exile it with four time counters on it. At the beginning of your next upkeep, remove a time counter. When you do, cast it for its suspend cost or put it into your graveyard.)
This is a R, Instant magic card with manacost {1}{R}. This is its rules text: Counter target spell. If a spell is countered this"
62,"This is a R, Instant magic card with manacost {3}{R}. This is its rules text: Choose one —\n• Destroy target artifact or enchantment.\n• Destroy target enchantment.
This is a R, Instant magic card with manacost {X}{R}{R}. This is its rules text: Target player reveals their hand. You choose a card from it. That player discards that card.
This is a R, Instant magic card with manac"
63,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Destroy all creatures. [CARDNAME] deals 3 damage to each creature.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: Each player chooses a nonland card from their hand and sacrifices it. If that player does, they draw a card and draw a card equal to the sacrificed card's mana value.
This is"
64,"Suspend 5—{X}{U}{U}{U}{U}{U} (You may cast this spell for its suspend cost. If you do, add {U}{U}{U}. This spell can't be countered.\nDraw a card.)
This is a B, Instant magic card with manacost {B}. This is its rules text: Target creature gets +2/+2 until end of turn.
This is a B, Sorcery magic card with man"
65,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Cast this spell only during combat.\nDraw two cards, then discard a card.\nDraw two cards, then discard a card.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Cast this spell only during combat.\nDraw two cards, then discard a card.\nDraw two"
66,"Exile target creature. You gain 4 life.
This is a U, Instant magic card with manacost {U}. This is its rules text: [CARDNAME] deals 2 damage to target creature.
This is a U, Instant magic card with manacost {1}{U}. This is its rules text: Exile target creature.
This is a U, Instant magic card with manacost {U}. This is its rules text: [CARDNAME] deals"
67,"It's a G, Sorcery magic card with manacost {G}. This is its rules text: You may cast the exiled card from your hand without paying its mana cost.\nFlashback {6}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
It's a G, Instant magic card with manacost {2}{G}. This is its rules text: Exile target creature. Its controller gains 3 life.
It"
68,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Target creature gets +1/+1 and gains first strike until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, enchanted by a creature with the greatest power, or equipped by a creature with the greatest toughness.)
This is a R, Instant magic card with manacost {1}{R}. This is its rules text: Destroy target nonartifact"
69,"This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Each player draws two cards, then sacrifices the rest.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Each player sacrifices two cards, then sacrifices the rest.
This is a R, Sorcery magic card with manacost {4}{R}. This is its rules text: Each player sacrifices two"
70,"This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {3}{R}. This is its rules text: Destroy all creatures."
71,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Destroy all creatures target player controls.
This is a R, Sorcery magic card with manacost {3}{R}. This is its rules text: Destroy all creatures target player controls.
This is a R, Sorcery magic card with manacost {2}{R}{R}. This is its rules text: Destroy all creatures that aren't black.
This is a"
72,"This is a R, Sorcery magic card with manacost {3}{R}. This is its rules text: Choose one or both —\n• Return target creature card from your graveyard to the battlefield.\n• Target player draws two cards.\n• Destroy target artifact or enchantment.
This is a R, Sorcery magic card with manacost {3}{R}. This is its rules text: Target player mills six cards.
This is a R, Sorcery"
73,"This is a R, Sorcery magic card with manacost {X}{R}. This is its rules text: Destroy all creatures.
This is a R, Sorcery magic card with manacost {X}{R}. This is its rules text: Destroy all creatures.
This is a R, Sorcery magic card with manacost {4}{R}. This is its rules text: This spell costs {1} less to cast for each creature on the battlefield.\n"
74,"If you're a card-swap player, you may cast this spell only from the battlefield.\nCopy target spell unless its controller pays {3}.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: Copy target spell unless its controller pays {3}.\nCopy target spell unless its controller pays {3}.
This is a R, Sorcery magic card with manacost {R}. This is its rules text:"
75,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target creature.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target creature.
This is a R"
76,"A number of people have been able to gain life equal to the number of creatures they control. If this spell was kicked, instead you may pay {1}{B}. This is a B, Sorcery magic card with manacost {2}{B}. This is its rules text: [CARDNAME] deals 5 damage to each creature.
This is a B, Sorcery magic card with manacost {2}{B}. This is its rules text: [CARDNAME]"
77,"U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S. Army, U.S."
78,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Each player chooses a creature they control. If the chosen creature is a creature, they choose a creature they control equal to the chosen creature's power. If the chosen creature is a creature with flying, they choose a creature they control equal to the chosen creature's power.
This is a R, Sorcery magic card with manacost {1}{R}. This is its"
79,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Choose one —\n• Destroy target artifact or enchantment.\n• Destroy target enchantment.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all enchantments.
This is a R, Sorcery magic card with manacost {3}{R}. This is its rules text: Destroy all enchantments"
80,"It's a G, Sorcery magic card with manacost {G}. This is its rules text: Choose one —\n• Search your library for a card with the same name as target spell and reveal it. Search your library for a card with the same name as target spell and reveal it. Then shuffle.
This is a G, Sorcery magic card with manacost {G}. This is its rules text: Choose one —\n• Search your library for a card"
81,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Choose two —\n• Target player gains 3 life.\n• Target player gains 3 life.\n• Target player gains 3 life.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Choose two —\n• Target player gains 3 life.\n• Target player gains 3 life.\n"
82,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Reveal cards from the top of your library until you reveal a creature card with mana value 3 or less. That creature gains haste until end of turn. Exile that card.
This is a R, Instant magic card with manacost {2}{R}. This is its rules text: Target creature gets +1/+0 and gains indestructible until end of turn.
"
83,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Gain control of target creature until end of turn. You gain 3 life.\nDraw two cards.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Create a tapped 3/3 green Goat creature token. (It can't be the target of spells or abilities your opponents control.)
This is a R,"
84,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Target creature gets +1/+1 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)
This is a R, Sorcery magic card with manacost {3}{R}. This is its rules text: Choose one —\n• Target creature gets +1/+1 and gains lifelink"
85,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Exile target creature. Then return it to the battlefield under its owner's control with a +1/+1 counter on it.
This is a G, Sorcery magic card with manacost {G}. This is its rules text: Destroy all enchantments.
This is a G, Sorcery magic card with manacost {2}{G}. This is its rules text:"
86,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Create a 0/1 white Zombie creature token.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: Create a 1/1 white Zombie creature token"
87,"The U.S. Food and Drug Administration (FDA) is issuing a new, six-month, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-binding, non-"
88,"Wizards of the Coast — Creatures you control get +1/+1 and gain first strike until end of turn.
This is a W, Instant magic card with manacost {W}. This is its rules text: Destroy target creature with power 2 or less.
This is a W, Instant magic card with manacost {W}. This is its rules text: Destroy target creature with power 2 or less.
This is a W, Instant magic card with manacost {W"
89,"You may cast this spell only during combat if you control a creature with the greatest toughness among creatures you control.\nDestroy target creature.
This is a U, Instant magic card with manacost {U}{U}. This is its rules text: Choose one or both. Target creature gets +1/+1 and gains indestructible until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)\nDraw a card.
This is"
90,"This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: [CARDNAME] deals 3 damage divided as you choose among any number of targets.
This is a R, Sorcery magic card with manacost {1}{R}{R}. This is its rules text: [CARDNAME] deals 3 damage divided as you choose among any number of targets.
This is a R, Sorcery magic card with manac"
91,"This is a R, Sorcery magic card with manacost {R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {1}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {R}. This is its rules text: Destroy target creature. It can't be"
92,"This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Search your library for a creature card, reveal it, put it into your hand, then shuffle.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all"
93,"Suspend 3—{1}{U} (You may cast this card from your graveyard for its suspend cost.)
This is a U, Sorcery magic card with manacost {3}{U}. This is its rules text: Each opponent exiles a creature with power 4 or greater.
This is a U, Instant magic card with manacost {U}. This is its rules text: Counter target spell unless its controller pays {1}.
This is a U, Sor"
94,"A man who was attacked by a small group of white people while being followed by two black people was able to escape with only minor injuries.
This is a R, Sorcery magic card with manacost {1}{R}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {1}{R}{R}. This is its rules text: Search your library for a basic land"
95,"U.S. Army
This is a U.S. Army color permanent card with manacost {1}{U}{U}. This is its rules text: Choose one —\n• Target creature gets -2/-2 until end of turn.\n• Creatures get -2/-2 until end of turn.
This is a U.S. Army color permanent card with manacost {1}{U}{U}. This is its rules text: Choose one —\n"
96,"This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures. They can't be regenerated.
This is a R, Sorcery magic card with manacost {2}{R}. This is its rules text: Destroy all creatures."
97,"Suspend 3—{T} (Rather than cast this card from your hand, you may pay {T} and exile it with two time counters on it. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)
This is a U, Sorcery magic card with manacost {1}{U}. This is its rules text: [CARDNAME] deals 2 damage to each creature without flying.
This is a U,"
