,generated_text
45,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.\nWhen [CARDNAME] enters the battlefield, return enchanted creature to its owner's hand.
This is a W, Enchantment magic card with manacost {3}{W}."
46,"When [CARDNAME] enters the battlefield, you create a 1/1 white Spirit creature token with flying.\n• Create a 2/2 red Elemental creature token with flying.\n• Create a 2/2 red Elemental creature token with flying.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nWhen [CARDNAME] enters the battlefield, you may draw a card.\nEnchanted creature gets +1/+1 and"
47,"When [CARDNAME] enters the battlefield, it deals 1 damage to any target.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has lifelink.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.
This is a W, Enchant"
48,"When [CARDNAME] enters the battlefield, create a 1/1 green Squirrel creature token with flying.\n{1}{W}: Create a 2/2 green Squirrel creature token with flying.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has haste.\n{2}{W}: Regenerate enchanted creature.
This is a W, Enchantment magic card with manacost {"
49,"When [CARDNAME] enters the battlefield, choose a creature type.\n{2}{W}{W}: Put a -1/-1 counter on target creature.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.\n{2}{W}: Return [CARDNAME] to its owner's hand.
This is a W, Enchantment magic card with manacost"
50,"When [CARDNAME] enters the battlefield, choose a creature type.\nWhenever you would put a creature card from a graveyard onto the battlefield, exile it.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets -2/-2.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets -2/-2"
51,"When [CARDNAME] enters the battlefield, return target creature card from your graveyard to the battlefield.\nWhen [CARDNAME] leaves the battlefield, return that card to the battlefield under its owner's control.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has double strike and lifelink.
This is a W, Enchantment magic card with manacost {1}{W"
52,"When [CARDNAME] enters the battlefield, exile target creature an opponent controls until end of turn.
This is a W, Enchantment magic card with manacost {3}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +3/+3 and has lifelink.
This is a W, Enchantment magic card with manacost {W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.\nAs long as enchanted"
53,"When [CARDNAME] enters the battlefield, it deals 1 damage to any target. If it's dealt damage this way, it deals 1 damage to you.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has lifelink.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets"
54,"When [CARDNAME] enters the battlefield, return target creature card from your graveyard to the battlefield under its owner's control.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature can't attack, block, or be attacked by any other creature.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2"
55,"When [CARDNAME] enters the battlefield, exile the top card of your library. Put that card onto the battlefield face down.\nAt the beginning of the end step, if [CARDNAME] has no cards in it, sacrifice it and return it to the battlefield under its owner's control.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has trample.
This is a"
56,"When [CARDNAME] enters the battlefield, draw a card.\n{1}{W}: Target creature gets +1/+1 until end of turn.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets -2/-2 and has haste.
This is a W, Enchantment magic card with manacost {W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2"
57,"When [CARDNAME] enters the battlefield, you may exile target card from your graveyard.\nAt the beginning of the end step, target opponent discards that card.
This is a U, Enchantment magic card with manacost {1}{U}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has flying.\nWhen [CARDNAME] enters the battlefield, you may exile target card from your graveyard.\nAt the beginning of the end step, target"
58,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to any target.
This is a W, Enchantment magic card with manacost {W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.
This is a W, Enchantment"
59,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to any target.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has flying and vigilance.
This is a W, Enchantment magic card with manacost {2}{W}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.\n"
60,"When [CARDNAME] enters the battlefield, it deals 5 damage to any target.
This is a U, Enchantment magic card with manacost {1}{U}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has lifelink.\nWhenever a creature you control dies, you may draw a card.
This is a U, Enchantment magic card with manacost {1}{U}. This is its rules text: Enchant creature\nEnchanted creature gets"
61,"When [CARDNAME] enters the battlefield, create a 0/1 green Saproling creature token with flying.\nWhenever a creature with power 4 or greater enters the battlefield under your control, put a +1/+1 counter on it.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has ""Whenever this creature attacks a player, you may draw a card.""
This is a W"
62,"When [CARDNAME] enters the battlefield, you win the game.
This is a B, Enchantment magic card with manacost {1}{B}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has haste.\nWhen [CARDNAME] leaves the battlefield, that creature gains ""enchant creature you control puts a +1/+1 counter on target creature.""
This is a B, Enchantment magic card with manacost {2}{B}{B}."
63,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls until [CARDNAME] leaves the battlefield.
This is a R, Enchantment magic card with manacost {2}{R}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.\n{R}: Enchanted creature gets +3/+3 until end of turn.
This is a R, Enchantment magic card with manacost {1}{R}{R}. This"
64,"When [CARDNAME] enters the battlefield, destroy all creatures.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a W, Enchantment magic card with manacost {W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a W, Enchantment magic card with manacost {"
65,"When [CARDNAME] enters the battlefield, create a 1/1 white Human Knight creature token with flying.\nAt the beginning of each end step, if [CARDNAME] has no cards in its mana cost, sacrifice it and draw two cards.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a W, Enchantment magic card with manacost"
66,"When [CARDNAME] enters the battlefield, choose one or more targets for the spell to target.\nAt the beginning of the end step, if no targets are known, sacrifice [CARDNAME]. If a creature with the same name as one of those targets would be put into its owner's graveyard from anywhere, it deals 2 damage to that creature.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2"
67,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to any target.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying, haste, and ""Whenever a creature enters the battlefield under your control, put a -1/-1 counter on target creature.""
This is a W, Enchantment magic card with manacost {1}{W}. This is its"
68,"When [CARDNAME] enters the battlefield, return target creature card from your graveyard to the battlefield.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has lifelink.
This is a W, Enchantment magic card with manacost {W}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a"
69,"When [CARDNAME] enters the battlefield, target opponent loses 1 life unless they discard a card.\nAt the beginning of the end step, if [CARDNAME] has no cards in hand, that player loses 1 life unless they discard a card.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.
This is a W, Enchantment magic card with manacost"
70,"When [CARDNAME] enters the battlefield, create a 1/1 colorless Spirit creature token with flying.\nWhenever a creature you control attacks alone, it deals damage equal to its power to any target.
This is a B, W, Enchantment magic card with manacost {2}{W}{B}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying.\n{1}{W}: Return [CARDNAME] to its owner's hand.
"
71,"When [CARDNAME] enters the battlefield, exile target creature an opponent controls until [CARDNAME] leaves the battlefield.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.\n{2}{W}: Enchanted creature gets +2/+2 until end of turn.
This is a W, Enchantment magic card with manacost {2}{W}{W}. This"
72,"When [CARDNAME] enters the battlefield, return target creature card from its owner's graveyard to the battlefield.\nSacrifice a creature: Return target creature card from its owner's graveyard to the battlefield.
This is a G, Enchantment magic card with manacost {2}{G}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a G, Enchantment magic card with manacost {1}{G}. This is its rules text:"
73,"When [CARDNAME] enters the battlefield, choose a creature type.\nCreatures you control get +2/+2.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1.
This is a W, Enchantment magic card with manacost {3}{W}. This is its rules text: Enchant creature\nEnchanted creature gets -2/-2.
This is a W,"
74,"When [CARDNAME] enters the battlefield, it deals 1 damage to target player or planeswalker.\nEnchanted planeswalker gets +1/+1 and has trample.
This is a W, Enchantment magic card with manacost {W}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has flying, haste, and ""Whenever this creature deals damage to a player, you may draw a card.""
This is a W, Enchantment magic card with man"
75,"When [CARDNAME] enters the battlefield, return target creature card from your graveyard to the battlefield.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.\n{2}{W}{U}: Return [CARDNAME] to its owner's hand.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant"
76,"When [CARDNAME] enters the battlefield, choose a creature type.\nCreatures you control with the same name as a permanent you control enter the battlefield with the same name as a creature they left the battlefield with.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text:"
77,"When [CARDNAME] enters the battlefield, if it's not a creature, it becomes a creature with power equal to its mana value.\nCreatures with power equal to its mana value get +2/+2.
This is a W, Enchantment magic card with manacost {3}{W}. This is its rules text: Enchant creature\nWhen [CARDNAME] enters the battlefield, if it's not a creature, it becomes a creature with power equal to its mana value.\nEnchanted creature"
78,"When [CARDNAME] enters the battlefield, choose a creature type.\n{4}{B}, Exile [CARDNAME]: You may choose a creature type. If you do, choose a creature type.
This is a R, Enchantment magic card with manacost {1}{R}. This is its rules text: Enchant creature\nEnchanted creature gets +1/+1 and has flying, haste, and ""Whenever this creature attacks, put a -1/-1 counter on this creature.""
This is a"
79,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to any target.
This is a W, Enchantment magic card with manacost {W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2.
This is a W, Enchantment magic card with manacost"
80,"When [CARDNAME] enters the battlefield, its controller sacrifices a creature.\nWhenever a creature with power equal to [CARDNAME] leaves the battlefield, [CARDNAME] deals 1 damage to that creature.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has lifelink.
This is a W, Enchantment magic card with manacost {W}. This is its"
81,"When [CARDNAME] enters the battlefield, scry 1.\nWhenever a creature you control deals combat damage to a player, that player loses 1 life and you gain 1 life.
This is a W, Enchantment magic card with manacost {2}{W}. This is its rules text: Enchant creature\nEnchanted creature gets +2/+2 and has haste.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: Enchant creature\n"
82,"When [CARDNAME] enters the battlefield, its controller creates a 1/1 white Zombie creature token with flying.\n{1}{W}: Return [CARDNAME] to its owner's hand.
This is a W, Enchantment magic card with manacost {1}{W}. This is its rules text: {1}, Discard a card: Return target creature card from your graveyard to the battlefield.
This is a W, Enchantment magic card with manacost {1}{W}. This is its"
