,generated_text
10,"When [CARDNAME] enters the battlefield, you may cast it from your hand without paying its mana cost.
This is a W, Legendary Creature — Human Wizard magic card with manacost {2}{W}, power 3, and toughness 3. This is its rules text: Flying\n{T}: You may cast [CARDNAME] from your hand without paying its mana cost.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}, power 2, and toughness 2."
11,"When [CARDNAME] enters the battlefield, you may put a +1/+1 counter on [CARDNAME].
This is a G, R, Legendary Creature — Human Warrior magic card with manacost {G}{R}{R}{G}, power 3, and toughness 3. This is its rules text: At the beginning of your upkeep, put a +1/+1 counter on [CARDNAME].\n{1}{R}{G}: Create a 1/1 green Saproling creature token.
This"
12,"When [CARDNAME] enters the battlefield, exile it. You may cast it from your graveyard this turn.
This is a B, Creature — Human Wizard magic card with manacost {B}{B}, power 1, and toughness 1. This is its rules text: Whenever [CARDNAME] deals combat damage to a player, you may put a +1/+1 counter on [CARDNAME].\nWhenever a player enters the battlefield with a +1/+1 counter on them, you may put a +1"
13,"When [CARDNAME] enters the battlefield, exile it.
This is a W, Creature — Angel Ally magic card with manacost {2}{W}, power 2, and toughness 2. This is its rules text: Flying\nWhen [CARDNAME] enters the battlefield, you may untap up to one target creature.\n{1}{W}: [CARDNAME] gets +1/+0 until end of turn.
This is a W, Creature — Human Wizard magic card with manacost {"
14,"When [CARDNAME] enters the battlefield, it deals damage equal to the number of damage counters on it.
This is a W, Creature — Human Wizard magic card with manacost {3}{W}{W}, power 3, and toughness 4. This is its rules text: When [CARDNAME] enters the battlefield, it deals damage equal to the number of damage counters on it.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1"
15,"When [CARDNAME] enters the battlefield, it deals 1 damage to any target.
This is a U, Creature — Human Wizard magic card with manacost {U}{U}, power 2, and toughness 2. This is its rules text: {U}{U}, {T}: Create a 1/1 white Wizard creature token with flying.
This is a U, Creature — Human Wizard magic card with manacost {U}{U}, power 1, and toughness 1. This is its rules text: {T}:"
16,"When [CARDNAME] enters the battlefield, it deals 1 damage to any target.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}{W}, power 1, and toughness 1. This is its rules text: Trample\nWhenever [CARDNAME] deals combat damage to a player, that player discards a card.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its"
17,"When [CARDNAME] enters the battlefield, target opponent discards a card.
This is a W, Legendary Creature — Human Warrior magic card with manacost {2}{W}{W}, power 2, and toughness 2. This is its rules text: {W}{W}{W}, {T}: Add {W}{W}{W}{W}{W}{W}{W}{W}.
This is a W, Creature — Human Soldier magic card with manacost {1}{W}{W}, power 2, and"
18,"When [CARDNAME] enters the battlefield, it deals 1 damage to each creature it blocks.
This is a W, Legendary Creature — Human Warrior magic card with manacost {2}{W}{W}, power 2, and toughness 2. This is its rules text: When [CARDNAME] enters the battlefield, choose a creature type.\nSacrifice a creature: Add one mana of any type.
This is a W, Creature — Human Warrior magic card with manacost {1}{W}{W},"
19,"When [CARDNAME] enters the battlefield, exile target instant or sorcery card from your graveyard.
This is a B, Creature — Human Warrior magic card with manacost {3}{B}{B}, power 2, and toughness 2. This is its rules text: {T}: Add one mana of any color.
This is a B, Creature — Human Warrior magic card with manacost {2}{B}, power 2, and toughness 2. This is its rules text: {T}: Add one mana of any color"
20,"When [CARDNAME] enters the battlefield, it gets +1/+0 and has ""Whenever this creature deals combat damage to a player, you may draw a card.""
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: Flying\nWhenever [CARDNAME] deals combat damage to a player, that player discards a card.
This is a W, Creature — Human Wizard magic card with manacost {"
21,"When [CARDNAME] enters the battlefield, choose one —\n• Create a 1/1 white Zombie creature token.\n• Create a 1/1 white Zombie creature token.
This is a B, Creature — Human Wizard magic card with manacost {2}{B}, power 2, and toughness 2. This is its rules text: {2}{B}, {T}: Add one mana of any color.\n{B}, {T}: Add one mana of any color.
This is a B,"
22,"When [CARDNAME] enters the battlefield, you may have target creature get +1/+1 and have it attack each combat if able.
This is a G, U, Legendary Creature — Human Wizard magic card with manacost {2}{G}{U}, power 2, and toughness 2. This is its rules text: {U}: [CARDNAME] gains first strike until end of turn.\nWhenever [CARDNAME] attacks, defending player discards a card at random.
This is a G,"
23,"When [CARDNAME] enters the battlefield, draw a card.
This is a W, Creature — Human Wizard magic card with manacost {2}{W}{W}, power 2, and toughness 2. This is its rules text: Flying\nWhenever [CARDNAME] deals combat damage to a player, you may draw a card.
This is a W, Creature — Human Wizard magic card with manacost {2}{W}{W}, power 2, and toughness 2. This is its rules text: When"
24,"When [CARDNAME] enters the battlefield, target creature gets +1/+0 until end of turn.
This is a W, Creature — Human Cleric magic card with manacost {W}{W}{W}, power 3, and toughness 3. This is its rules text: {T}: Add {W}{W}{W}.
This is a W, Creature — Human Cleric magic card with manacost {W}{W}{W}, power 1, and toughness 1. This is its rules text: {T"
25,"When [CARDNAME] enters the battlefield, you may return [CARDNAME] from your graveyard to your hand.
This is a G, Creature — Human Wizard magic card with manacost {G}, power 1, and toughness 1. This is its rules text: {T}: Add {G}.\n{T}: Add one mana of any color.
This is a G, Creature — Human Wizard magic card with manacost {G}, power 1, and toughness 1. This is its rules text: {"
26,"When [CARDNAME] enters the battlefield, target opponent reveals their hand, then shuffles.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}, power 1, and toughness 1. This is its rules text: Flash\nAt the beginning of your upkeep, put a +1/+1 counter on [CARDNAME].\n{2}{W}, Sacrifice [CARDNAME: Put a +1/+1 counter on this creature.}: Draw a card.
This is"
27,"When [CARDNAME] enters the battlefield, if it's an instant or sorcery card, you may pay {2}. If you do, return [CARDNAME] from your graveyard to the battlefield.
This is a W, Creature — Elemental magic card with manacost {4}{W}{W}, power 4, and toughness 4. This is its rules text: Flying\n{W}{W}: [CARDNAME] gets +1/+0 until end of turn.
This is a W, Creature — Human"
28,"When [CARDNAME] enters the battlefield, you may return target creature card from your graveyard to your hand.
This is a W, Creature — Human Wizard magic card with manacost {3}{W}{W}, power 3, and toughness 3. This is its rules text: {1}{W}, {T}: Return [CARDNAME] from your graveyard to the battlefield.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 2, and toughness 2. This"
29,"When [CARDNAME] enters the battlefield, choose one —\n• Exile target instant or sorcery card from a graveyard.\n• Exile target instant or sorcery card from a graveyard.
This is a B, Creature — Human Wizard magic card with manacost {1}{B}{B}, power 1, and toughness 1. This is its rules text: {1}{B}: [CARDNAME] gets +1/+0 until end of turn.\n{T}: Put target card from a graveyard onto the battlefield"
30,"When [CARDNAME] enters the battlefield, exile up to one target permanent you control.
This is a W, Creature — Human Wizard magic card with manacost {2}{W}, power 2, and toughness 2. This is its rules text: {T}: Add one mana of any color.
This is a W, Creature — Human Wizard magic card with manacost {2}{W}, power 2, and toughness 2. This is its rules text: {T}: Add one mana of any color.\n"
31,"When [CARDNAME] enters the battlefield, exile target permanent an opponent controls.
This is a W, Creature — Human Wizard magic card with manacost {3}{W}{W}, power 2, and toughness 2. This is its rules text: {T}: Add {W}{W}{W}.\n{T}: Add {W}{W}{W}.\n{T}: Add {W}{W}{W}.\n{T}: Add {W}{W}{W}.
This is a W,"
32,"When [CARDNAME] enters the battlefield, return [CARDNAME] from your graveyard to your hand.
This is a W, Creature — Human Soldier magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {W}{W}, {T}: Return [CARDNAME] from your graveyard to your hand.
This is a W, Creature — Human Knight magic card with manacost {W}{W}, power 1, and toughness 1. This is its"
33,"When [CARDNAME] enters the battlefield, you may search your library for a card named [CARDNAME] and put it onto the battlefield tapped.
This is a G, R, Legendary Creature — Human Wizard magic card with manacost {2}{G}{R}, power 3, and toughness 3. This is its rules text: {T}: [CARDNAME] gets +1/+0 until end of turn.\n{T}: [CARDNAME] deals 1 damage to target creature.
This is"
34,"When [CARDNAME] enters the battlefield, exile it.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: When [CARDNAME] enters the battlefield, exile target creature an opponent controls.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {T}: Add {W}.
This is a"
35,"When [CARDNAME] enters the battlefield, exile target card from it.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}{W}, power 1, and toughness 1. This is its rules text: {W}{W}{W}, {W}{W}{W}: Create a 1/1 white Wizard creature token.\n{W}{W}{W}{W}: Create a 1/1 white Wizard creature token.
This is a W, Creature — Human Wizard magic card"
36,"When [CARDNAME] enters the battlefield, return target creature card from your graveyard to your hand.
This is a W, Creature — Human Wizard magic card with manacost {2}{W}, power 2, and toughness 2. This is its rules text: {W}, {T}: Put a +1/+1 counter on [CARDNAME].\n{T}: Add one mana of any color.
This is a W, Creature — Human Wizard magic card with manacost {2}{W}, power 2"
37,"When [CARDNAME] enters the battlefield, exile it.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}{W}, power 1, and toughness 1. This is its rules text: {W}{W}, {T}: Add {W}{W}{W}.
This is a W, Legendary Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {W}{W}, {T}: Add"
38,"When [CARDNAME] enters the battlefield, it deals 1 damage to each creature other than [CARDNAME].
This is a W, Creature — Bird magic card with manacost {3}{W}{W}, power 3, and toughness 5. This is its rules text: Flying\n{W}: [CARDNAME] can't be blocked except by two or more creatures.
This is a W, Creature — Human Wizard magic card with manacost {W}, power 1, and toughness 1. This is"
39,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {1}{W}, {T}: Put a +1/+1 counter on [CARDNAME].
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {"
40,"When [CARDNAME] enters the battlefield, it deals 1 damage to target player or planeswalker and you gain 1 life.
This is a W, Creature — Human Cleric magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: When [CARDNAME] enters the battlefield, it deals 1 damage to target player or planeswalker and you gain 1 life.
This is a W, Creature — Human Cleric magic card with manacost {W}{W},"
41,"When [CARDNAME] enters the battlefield, exile target nonland permanent.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}{W}, power 1, and toughness 1. This is its rules text: {1}{W}, {T}: Put a +1/+1 counter on [CARDNAME].\n{W}{W}{W}: Add {W}{W}{W}.
This is a W, Creature — Human Wizard magic card with manacost {1}{"
42,"When [CARDNAME] enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.
This is a G, R, W, Legendary Creature — Human Warrior magic card with manacost {2}{R}{W}, power 4, and toughness 4. This is its rules text: {T}: Add {W}{G}{U}{B}{R}{B}{G}{W}{G}{W}{G}{W}{G}{W}{G}{"
43,"When [CARDNAME] enters the battlefield, it deals X damage to target creature.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: When [CARDNAME] enters the battlefield, it deals X damage to target creature.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}, power 2, and toughness 1. This is its rules text: {T}: Add {"
44,"When [CARDNAME] enters the battlefield, you may return target creature card from your graveyard to your hand.
This is a W, Creature — Human Wizard magic card with manacost {3}{W}{W}, power 2, and toughness 2. This is its rules text: [CARDNAME] enters the battlefield with three +1/+1 counters on it.\n{T}: Create a Treasure token.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power"
45,"When [CARDNAME] enters the battlefield, target opponent sacrifices a creature.
This is a R, Creature — Human Knight magic card with manacost {R}{R}, power 2, and toughness 2. This is its rules text: When [CARDNAME] enters the battlefield, target opponent sacrifices a creature.
This is a R, Creature — Human Knight magic card with manacost {R}{R}, power 2, and toughness 2. This is its rules text: When [CARDNAME] enters the battlefield"
46,"When [CARDNAME] enters the battlefield, put a +1/+1 counter on it.
This is a G, R, W, Legendary Creature — Human Warrior magic card with manacost {G}{R}{W}{G}, power 3, and toughness 3. This is its rules text: {T}: Target creature can't be blocked this turn.
This is a G, R, W, Legendary Creature — Human Warrior magic card with manacost {G}{R}{W}{G}, power 3, and"
47,"When [CARDNAME] enters the battlefield, choose a creature type, then you may reveal a creature card from your hand.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {T}: Add one mana of any color.\nArtifact — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {W}{W}{W}{W"
48,"When [CARDNAME] enters the battlefield, return target creature card from your graveyard to your hand.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}{W}, power 2, and toughness 2. This is its rules text: {1}{W}, {T}: Create two 1/1 white Wizard creature tokens.\n{1}{W}{W}: Create a 1/1 white Wizard creature token.
This is a W, Creature — Human Wizard magic card with manac"
49,"When [CARDNAME] enters the battlefield, exile up to one target permanent.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: Flying\n{T}: [CARDNAME] gets +1/+1 until end of turn.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {W},"
50,"When [CARDNAME] enters the battlefield, you may return target creature card from your graveyard to your hand.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {W}{W}: [CARDNAME] gains flying until end of turn.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {"
51,"When [CARDNAME] enters the battlefield, it deals X damage to target creature.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}{W}{W}, power 3, and toughness 3. This is its rules text: Defender\nWhenever [CARDNAME] attacks, you may have target creature gain first strike until end of turn.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}{W}, power 1, and toughness 1"
52,"When [CARDNAME] enters the battlefield, you may tap target creature an opponent controls.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}, power 2, and toughness 2. This is its rules text: {T}: Choose a card type. You may cast spells from among mana types that have mana values less than or equal to the chosen type.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}, power 2, and toughness 2"
53,"When [CARDNAME] enters the battlefield, exile target instant or sorcery card from your graveyard.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {T}: Create a 1/1 white Spirit creature token.\n{T}: Add one mana of any color.
This is a W, Creature — Human Warrior magic card with manacost {W}{W}, power 1, and toughness 1. This is"
54,"When [CARDNAME] enters the battlefield, put a +1/+1 counter on each creature you control.
This is a W, Creature — Human Knight magic card with manacost {3}{W}{W}, power 4, and toughness 4. This is its rules text: Defender\nWhen [CARDNAME] enters the battlefield, choose a player, then each player discards a card.
This is a W, Creature — Bird magic card with manacost {3}{W}, power 2, and toughness"
55,"When [CARDNAME] enters the battlefield, you may return target creature card from your graveyard to your hand.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}{W}, power 1, and toughness 1. This is its rules text: {T}: Add one mana of any color.\n{W}{W}: Add one mana of any of any color.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}, power 1,"
56,"When [CARDNAME] enters the battlefield, create two 1/1 white Human Soldier creature tokens with flying.
This is a G, U, Legendary Creature — Human Warrior magic card with manacost {2}{G}{U}, power 2, and toughness 4. This is its rules text: {T}: Add {G}{U}.\n{T}: Add {G}{U}{G}.\n{T}: Add {G}{U}{G}{G}{G}{G}.
This is a G,"
57,"When [CARDNAME] enters the battlefield, create a 1/1 green Saproling creature token with flying.
This is a B, Creature — Human Cleric magic card with manacost {1}{B}, power 2, and toughness 2. This is its rules text: {T}: Add one mana of any color.\n{T}: Add one mana of any color.
This is a B, Creature — Human Cleric magic card with manacost {1}{B}, power 2, and toughness 2"
58,"When [CARDNAME] enters the battlefield, exile target instant or sorcery card from your graveyard.
This is a W, Creature — Human Warrior magic card with manacost {1}{W}{W}, power 2, and toughness 2. This is its rules text: Flying\n{T}: Exile target instant or sorcery card from your graveyard.
This is a W, Creature — Human Warrior magic card with manacost {1}{W}{W}, power 2, and toughness 2. This is its rules text: Flying"
59,"When [CARDNAME] enters the battlefield, it deals X damage to target creature.
This is a W, Creature — Human Wizard magic card with manacost {2}{W}{W}, power 2, and toughness 3. This is its rules text: {W}{W}{W}, {T}: Add {W}{W}{W}.
This is a W, Creature — Human Cleric magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {W"
60,"When [CARDNAME] enters the battlefield, you gain 1 life and draw cards equal to the number of cards in your hand.
This is a W, Creature — Elf magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {W}{W}, {T}: [CARDNAME] deals 1 damage to target creature.
This is a W, Creature — Elf magic card with manacost {W}{W}, power 1, and toughness 1. This is"
61,"When [CARDNAME] enters the battlefield, it deals 1 damage to any target.
This is a W, Legendary Creature — Human Warrior magic card with manacost {3}{W}{W}, power 4, and toughness 4. This is its rules text: {W}{W}{W}{W}: [CARDNAME] gets +1/+0 until end of turn.\n{W}{W}{W}: [CARDNAME] gets +0/+1 until end of turn.
This is a W,"
62,"When [CARDNAME] enters the battlefield, create a token that's a copy of it, except it has ""{T}: Create a 1/1 red and white Spirit creature token.""
This is a B, R, Legendary Creature — Human Cleric magic card with manacost {2}{R}{B}, power 2, and toughness 2. This is its rules text: {R}{B}: Add {R}{B}.\n{T}: Add {R}{B}.
This is a R, W, Legendary"
63,"When [CARDNAME] enters the battlefield, target creature gets +X/+X until end of turn, where X is the number of permanents you control.
This is a G, R, Legendary Creature — Human Wizard magic card with manacost {G}{R}, power 1, and toughness 1. This is its rules text: {T}: Create a token that's a copy of target creature.\n{T}: Put a +1/+1 counter on [CARDNAME].\n{T}: Return target"
64,"When [CARDNAME] enters the battlefield, you may return target nonland permanent to its owner's hand.
This is a G, Creature — Human Warrior magic card with manacost {G}, power 1, and toughness 1. This is its rules text: First strike, vigilance, lifelink\nWhen [CARDNAME] enters the battlefield, you may return target nonland permanent to its owner's hand.
This is a G, Creature — Elf Warrior magic card with manacost {G}, power 1"
65,"When [CARDNAME] enters the battlefield, exile up to two target cards from a graveyard. At the beginning of your upkeep, put a +1/+1 counter on [CARDNAME].
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: Defender\nWhenever [CARDNAME] deals combat damage to a player, defending player discards a card.
This is a W, Creature — Human Wizard magic card"
66,"When [CARDNAME] enters the battlefield, create two 1/1 white and black Human Warrior creature tokens with flying.
This is a W, Creature — Human Wizard magic card with manacost {2}{W}{W}, power 2, and toughness 2. This is its rules text: {2}{W}{W}, {T}: Create a 1/1 white and black Human Wizard creature token.\n{T}: [CARDNAME] gains flying until end of turn.
This is a W, Creature —"
67,"When [CARDNAME] enters the battlefield, you may return target instant or sorcery card from your graveyard to your hand.
This is a G, R, Legendary Creature — Human Warrior magic card with manacost {G}{R}{G}, power 2, and toughness 2. This is its rules text: {T}: Add {G}{R}{G}.\n{T}: Add {G}{R}{G}.\n{T}: Add {G}{R}{G}.\n{T}: Add {G"
68,"When [CARDNAME] enters the battlefield, exile target nonland permanent an opponent controls.
This is a B, Creature — Zombie Wizard magic card with manacost {1}{B}{B}, power 2, and toughness 2. This is its rules text: {T}: Target creature gains deathtouch until end of turn.
This is a B, Creature — Zombie Wizard magic card with manacost {1}{B}, power 2, and toughness 2. This is its rules text: {T}: Target creature gains death"
69,"When [CARDNAME] enters the battlefield, each player may choose an additional target creature.
This is a W, Creature — Merfolk Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: Flying\n[CARDNAME] can't block unless defending player controls a Merfolk.
This is a W, Creature — Elf Pirate magic card with manacost {3}{W}{W}, power 2, and toughness 2. This is its rules text:"
70,"When [CARDNAME] enters the battlefield, it deals 2 damage to target creature.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}{W}, power 2, and toughness 2. This is its rules text: {W}: [CARDNAME] gets +1/+0 and has trample until end of turn.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 2, and toughness 2. This is its rules text"
71,"When [CARDNAME] enters the battlefield, target opponent loses 1 life and you gain 1 life.
This is a B, Creature — Zombie magic card with manacost {2}{B}{B}, power 2, and toughness 2. This is its rules text: When [CARDNAME] enters the battlefield, target opponent loses 1 life and you gain 1 life.\n{3}{B}{B}: [CARDNAME] gains deathtouch until end of turn.
This is a B, Creature — Zombie magic"
72,"When [CARDNAME] enters the battlefield, if it's a creature, you gain 1 life.
This is a B, Creature — Human Warrior magic card with manacost {1}{B}, power 1, and toughness 1. This is its rules text: {1}{B}, {T}: Add {B}{B}{B}.
This is a B, Creature — Human Warrior magic card with manacost {1}{B}, power 1, and toughness 1. This is its rules text: {1}{B"
73,"When [CARDNAME] enters the battlefield, exile target creature an opponent controls.
This is a W, Creature — Spirit magic card with manacost {2}{W}{W}, power 2, and toughness 2. This is its rules text: Flying\nWhenever [CARDNAME] deals combat damage to a player, that player discards a card.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}, power 1, and toughness 1. This is its rules text:"
74,"When [CARDNAME] enters the battlefield, target opponent loses 1 life and you gain 1 life.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {T}: Add {W}{W}{W}.\nWhenever [CARDNAME] deals combat damage to a player, that player discards a card at random.
This is a W, Creature — Human Wizard magic card with manacost {W}{"
75,"When [CARDNAME] enters the battlefield, create two 1/1 colorless Clue creature tokens.
This is a B, Creature — Human Wizard magic card with manacost {4}{B}, power 2, and toughness 2. This is its rules text: {2}{B}, {T}: Add {B}{B}{B}.\n{2}{B}, {T}: Add {B}{B}{B}.
This is a B, Creature — Human Wizard magic card with manacost {1}{"
76,"When [CARDNAME] enters the battlefield, exile the top card of target creature you control. It's an Aura with ""{2}, {T}, Sacrifice this artifact: Add one mana of any color.""
This is a G, Creature — Human Cleric magic card with manacost {G}, power 1, and toughness 1. This is its rules text: When [CARDNAME] enters the battlefield, exile the top card of target creature you control. It's an Aura with ""{2}, {T}, Sacrifice this artifact"
77,"When [CARDNAME] enters the battlefield, you gain life equal to the number of creatures you control.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}{W}, power 2, and toughness 2. This is its rules text: Flying\nWhen [CARDNAME] enters the battlefield, you gain life equal to the number of creatures you control.\n{2}{W}{W}: Return [CARDNAME] from your graveyard to the battlefield.
This is a"
78,"When [CARDNAME] enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}{W}, power 2, and toughness 2. This is its rules text: Flying\nWhenever [CARDNAME] deals combat damage to a player, that player discards a card.
This is a W, Creature — Human Wizard magic card with manacost {"
79,"When [CARDNAME] enters the battlefield, destroy target instant or sorcery card with mana value less than or equal to [CARDNAME]'s power.
This is a G, R, Legendary Creature — Human Wizard magic card with manacost {G}{R}, power 3, and toughness 3. This is its rules text: Flying\n{1}{R}: [CARDNAME] gets +1/+0 until end of turn.
This is a G, R, Legendary Creature — Human Wizard magic card with man"
80,"When [CARDNAME] enters the battlefield, create a 1/1 black and white Knight creature token with flying.\n{2}{R}: [CARDNAME] gains flying until end of turn.
This is a R, Creature — Zombie magic card with manacost {2}{R}{R}, power 3, and toughness 3. This is its rules text: Flying\nWhenever [CARDNAME] attacks, target creature can't block it.
This is a R, Creature — Zombie magic card with man"
81,"When [CARDNAME] enters the battlefield, exile the top card of each player's library.
This is a W, Creature — Human Wizard magic card with manacost {2}{W}{W}, power 2, and toughness 2. This is its rules text: {T}: [CARDNAME] deals 1 damage to target creature.
This is a W, Creature — Human Wizard magic card with manacost {2}{W}, power 2, and toughness 2. This is its rules text: {T}: ["
82,"When [CARDNAME] enters the battlefield, exile it.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}{W}, power 2, and toughness 2. This is its rules text: {W}, {T}: Return [CARDNAME] from your graveyard to the battlefield.
This is a W, Creature — Beast magic card with manacost {4}{W}{W}, power 4, and toughness 4. This is its rules text: Trample\n[C"
83,"When [CARDNAME] enters the battlefield, exile it.
This is a W, Creature — Human Wizard magic card with manacost {1}{W}{W}, power 2, and toughness 2. This is its rules text: {1}{W}, {T}: [CARDNAME] gets +1/+0 and has haste.
This is a W, Creature — Human Wizard magic card with manacost {W}{W}, power 1, and toughness 1. This is its rules text: {T}: ["
